article	simple	complex
Wikipedia:Deletion review	152	431
Prison	482	5019
Mexico	1119	11504
Atlantic Ocean	305	2679
Mercury (element)	1649	5643
Wikipedia:Disambiguation	1053	2007
Africa	775	7027
Butter	110	4306
Cold War	1376	13054
Mainland China	226	1266
Climate	373	2596
Fold (geology)	333	1911
Pacific Ocean	236	2778
Antarctica	1765	7809
South Pole	1003	1945
Indian Ocean	139	1972
Arctic Ocean	155	2404
Inuit	991	8765
Basket	195	256
South America	346	4544
Bed	17	2214
Asia	252	4408
Coordinated Universal Time	196	3941
Television	372	3661
Sociology	536	8103
Sky	117	733
Dollar	116	1715
Beer	712	6595
Eurasia	225	953
North Pole	190	3963
Plural	158	1447
Alexander Gode	30	469
Oceania	69	1418
Southern Ocean	70	1844
Catalan language	128	3772
Corset	21	2970
Pop music	678	1359
General semantics	111	2191
Semiotics	83	1939
Wikipedia:General disclaimer	934	888
Wikipedia:Block log	621	37
Nitrogen	544	4844
Association football	522	5188
Wikipedia:Upload log	4199	24
Wikipedia:Cleanup	96	710
Wikipedia:Glossary	1196	13912
Earthquake	971	5258
Scurvy	213	3771
Ion	474	2349
Cognitive science	70	3820
Anthropology	213	7751
Education	353	4450
Army	437	2597
Theology	177	1879
Romania	3763	10612
Argon	68	2504
Trade	280	2549
European Union	1157	9914
Greece	1714	9176
Sweden	387	15956
Albert Einstein	5108	8443
Euro	523	5230
Currency	171	2702
Radio telescope	177	1661
Korea	1583	5870
Switzerland	1443	11332
LOL	198	1292
Wikipedia:Deletion policy	740	2057
Wikipedia:Protection policy	287	2077
United States dollar	491	8213
Fluid ounce	33	384
Meteor shower	88	2017
Cat	2641	11955
Engineering	611	3581
Communication	224	3080
Miracle	161	3631
Wikipedia:Accuracy dispute	136	69
English language	1075	8860
William Shakespeare	493	7027
Trier	55	1438
Computer network	327	3312
Turkey	545	8547
Thomm	82	64
Bible	833	6157
Bavaria	156	4230
Rome	756	12278
Carnivore	128	984
Cologne	448	5271
Senegal	298	3496
Developmental biology	432	1292
1920s	33	495
Outer space	269	4016
Centripetal force	150	3325
Treaty	79	3874
Luxembourg	138	3927
Baden-WÃ¼rttemberg	426	2347
Vienna	183	6645
Telescope	160	1457
Homonym	60	605
Peru	731	3134
States of Germany	43	5039
Munich	359	7568
Berlin	217	9205
1930s	20	454
1940s	20	1391
1950s	20	1458
MediaWiki:Googlesearch	4	56
Hamburg	285	7728
Emphysema	387	2313
Oxygen	445	7592
Blood	936	4927
1960s	20	4212
1970s	20	6384
1980s	244	3370
1990s	36	3276
North Rhine-Westphalia	36	1802
Computer program	212	1861
Data	42	1289
Stuttgart	102	6305
Schwerin	43	522
Russia	1353	16227
Moscow	1620	11401
Saarland	167	3057
Iceland	903	9201
1965	16	17
1969	25	50
SaarbrÃ¼cken	42	870
Saarlouis	47	732
Brandenburg	89	1684
Russian language	594	5242
1978	16	25
1982	16	20
Professor	34	9553
Slope	61	1097
California	1297	9711
Propaganda	676	11455
Topology	368	2095
Los Angeles	560	7947
Census	44	9996
Star	1621	9761
Creative Commons	302	2830
Wikipedia:Image use policy	191	4225
HTML	588	4330
Leg	127	214
Economic sector	82	54
Yellow	0	1226
Plymouth Argyle F.C.	350	8507
Football	181	9317
Poland	2446	18381
England	1530	13042
Wales	301	17353
Scotland	2147	10417
Northern Ireland	507	9862
Great Britain	271	3934
Scottish Football League	10	1429
1967	16	25
Welsh League	21	2156
Arsenal F.C.	231	5695
Aston Villa F.C.	34	4378
Birmingham City F.C.	34	5020
Blackburn Rovers F.C.	54	3357
Bolton Wanderers F.C.	86	4178
Charlton Athletic F.C.	20	4207
Chelsea F.C.	582	4981
Everton F.C.	1480	5093
Fulham F.C.	418	5696
Liverpool F.C.	422	5733
Manchester City F.C.	116	4179
Manchester United F.C.	255	6209
Middlesbrough F.C.	44	3750
Newcastle United F.C.	332	9873
Portsmouth F.C.	74	6317
Tottenham Hotspur F.C.	175	3515
Derby County F.C.	1521	5702
Ipswich Town F.C.	1303	3374
Sunderland A.F.C.	141	4477
West Bromwich Albion F.C.	27	5719
West Ham United F.C.	79	7681
Wigan Athletic F.C.	65	5146
Wimbledon F.C.	919	5042
Accrington Stanley F.C.	75	1345
Telford United F.C.	44	1545
Sheffield F.C.	56	1714
Asteroid belt	517	5584
Essen	1195	5995
Gardening	364	2965
Democracy	634	7217
Game	205	4523
Nebraska	143	3273
Time	195	6583
Laboratory techniques	13	59
International System of Units	746	1644
Lake Michigan	75	2045
Gas syringe	52	504
Mixture	201	776
Chess	2938	8574
Gold	184	7759
Century	155	482
Kilogram	543	7643
Second	1160	2126
M-theory	1025	2957
Scientific method	545	8562
Gas	671	5087
Family	182	3535
Weapon	590	1632
Christmas cake	246	609
Christmas cracker	56	702
Floodlight	36	12
Headrest	53	245
Jack-in-the-box	64	181
City of London	463	8884
City of Westminster	41	1140
London Borough of Lambeth	19	1246
London Borough of Southwark	17	1845
London Borough of Camden	18	1789
London Borough of Merton	17	1133
Brixton	27	6474
Bankside	20	488
River Thames	823	8444
Male	79	849
Female	177	1080
London Borough of Greenwich	17	995
London Borough of Wandsworth	17	899
London Borough of Islington	16	616
Bambuco	81	109
Christmas	4700	8418
Adjective	623	1795
Paper	953	2327
Perimeter	152	206
Nation	203	5067
Metal	1301	2747
Indonesia	688	5668
Property	266	5684
Aberystwyth Town F.C.	56	388
Wikipedia:Bureaucrat log	29	30
German language	224	7895
Mississippi River	267	6392
Tributary	70	232
Missouri River	295	10179
Meaning of life	267	10773
Great Plains	16	2251
Minnesota River	124	516
Mythology	120	2384
Wisconsin River	176	1034
Alaska	260	9268
Illinois River	201	1181
Milk	513	7746
Weather	172	2480
British Columbia	290	10409
20th century	61	2761
Brussels	174	5865
Thuringia	213	965
Saxony	220	2707
Internet Explorer	6836	7075
Ulster	93	5023
List of mathematicians	8	8
Mancala	34	1439
Coden, Alabama	197	101
Platypus	1308	4332
Kenya	926	7935
Swahili language	153	3707
Long jump	53	2887
Elizabeth II	3593	6981
Question	111	2242
Gun	753	1271
Hobby	662	3105
World Trade Center	257	7924
Hour	47	599
Minute	45	230
Head	125	643
Norway	1083	13509
Albania	249	7482
Hungary	1169	15929
Netherlands	1639	9240
Ukraine	442	17566
Liechtenstein	142	4760
Portugal	463	14388
Slovakia	822	7063
Slovenia	164	9732
Oldham Cricket Club	30	107
Denarius	70	1128
Luffa	59	403
Kimono	384	4694
Culture	542	15994
Houseplant	26	2552
Japanese tea ceremony	360	5722
Sideboard	33	265
Holland	242	3027
Isotope	582	3538
Power network	228	1673
Citizenship	132	2368
Elephant	1067	9268
Buddhism	1193	4293
Black hole	2005	7814
Sheffield	291	8783
Fertilizer	162	3116
Military	798	7392
Photosynthesis	456	4999
Casserole	87	572
Flea	255	2698
Terrorism	142	4649
Krishna	261	7270
South Africa	2620	12148
Andorra	47	3594
Hiroshima	333	3038
Day	73	2354
Sphere	91	1668
Quantity	333	1884
Advertising	497	6991
Flag of the United States	244	4385
Mohandas Karamchand Gandhi	577	12357
Schizophrenia	844	4655
Drink	77	591
Need	273	1474
Freeware	47	427
Yahoo!	159	4693
Mecca	275	5591
Arabian Peninsula	139	3313
South	63	201
Central America	186	1403
French language	325	4545
Prime minister	88	1257
Greenland	214	4781
Monarch	122	2794
Uncle	54	147
Information	287	1967
Ice	847	6666
Travel	128	4519
CNN	63	275
Linux	1484	3813
Open source	172	5206
Desktop environment	200	4658
OpenOffice.org	150	1381
GNOME	106	4600
Dog	722	1461
Blindness	156	9864
Arctic	2698	4126
Sin	165	2299
Summer	130	1136
Month	121	980
Alberta	210	2557
Electronics	1027	8552
Photon	605	1363
Soap bubble	106	6774
Fire Brigades Union	69	1911
Force	185	611
Bicycle	812	9478
Wheel	119	5561
Writing	1900	1689
Plato	355	3128
Book	931	8445
Sundial	122	8263
Derivative	16	9310
Combinatorial game theory	551	5719
Nim	47	1803
Blue	82	2732
Memory	50	788
Murder	354	3443
Bird	5393	3807
Freedom of speech	281	9232
Banana	1145	4077
Swatch Internet Time	140	5486
Test tube	146	728
Crucible	67	502
Lithium	780	2230
Beryllium	108	5669
Data compression	497	4529
Compiler	84	1547
Eye	1434	2792
Tongue-twister	18	5660
AbiWord	89	571
Insect	1445	508
List of operating systems	36	8255
Million	202	33
Gross domestic product	212	246
Cricket	661	3683
Badminton	231	9927
Chemical warfare	559	7095
Iran	791	10491
Gautama Buddha	1092	12802
North	52	5225
Video game console	97	676
PlayStation	87	2681
Election	193	7058
Medicine	194	2459
Transport	381	4641
Road	154	4458
2004	16	3957
Hawaiian Islands	8	55
Mauna Kea	147	3543
Mauna Loa	93	6191
Van	119	4672
Pantograph	49	2101
Paperback	43	1122
Palette knife	24	1855
Polymer	318	124
Medium	222	5219
Phrase	240	45
Pronoun	483	420
Adverb	313	512
News agency	43	1407
Safety curtain	68	422
Safety lamp	81	479
Christmas stocking	26	692
Wikipedia:Elections for the Board of Trustees of the Wikimedia Foundation	448	791
2001	31	464
Sex	834	81
Hacksaw	49	3023
Shovel	40	715
Plunger	57	965
Ladder	424	233
Oral history	69	389
Generation	57	857
Gene	519	1234
Alliteration	91	5909
Homophone	22	327
Condensation	214	844
Relative humidity	118	443
Vitamin C	1597	2412
Healthy diet	54	8547
Dye	22	1433
Poetry	159	1167
Literature	170	9974
Imagination	39	2220
Calorimeter	35	1726
Protease	19	2150
Dental floss	509	1049
Rickets	178	1341
Bile	78	907
Protoplasm	54	883
Amylase	39	402
Seam ripper	123	1111
Cavity	6	139
Evidence	78	11
Hill	45	918
Enzyme	760	1169
Mountain	897	5186
Machine code	667	2139
Area	107	1017
Saskatoon	68	1366
Thermometer	310	6381
Week	61	2375
Suffix	44	1669
Japanese language	463	342
Flavor	82	7478
Bank	214	1747
Halley's Comet	110	3773
Hubble Space Telescope	430	5201
Arm	86	10721
Arrow	99	2028
Golf	322	1439
Spirituality	264	5505
2002	16	2320
2003	16	77
1999	27	56
1998	16	86
1997	16	71
1996	16	59
1995	16	71
1994	16	55
1993	16	88
1992	16	57
1991	16	74
2005	16	146
2006	36	80
2007	16	53
1989	27	66
Common year	167	113
Decade	80	132
19th century	54	318
21st century	43	1220
Ijtihad	30	742
Human	2992	1143
Jungle	61	9511
Light	528	454
Stockholm	349	4757
Rain	467	6312
2009	27	6170
Gambling	159	58
Monty Python	88	1568
Time zone	136	9030
Market	296	4595
Electron	785	2563
Chile	275	8849
Ambassador	223	12796
Monday	35	1400
Tax	370	1121
Florida	994	9841
Mario	3731	9556
Video game	678	5098
Oboe	328	5266
GURPS	39	3651
Eric Idle	118	3709
Enemy	34	3745
2000	68	39
Adelaide	119	225
Yoshi	309	7945
Lake	271	1983
Tire	435	3422
Population	177	11152
West	68	672
President	346	366
List of colors	17	2175
Galileo Galilei	653	777
Promise	155	8494
Water cycle	86	535
Water vapor	124	2160
Solid	642	2814
Evaporation	222	5064
Contract	261	1125
Face	82	9149
Kolkata	488	936
Pencil	1789	7538
Logic	328	3553
Communism	1496	5036
Resurrection	259	8043
Monarchy	939	2643
North Korea	764	2499
Parliament	673	9255
Turing test	188	4785
Fuel	218	7325
Estonia	149	1052
Latvia	295	12609
Lithuania	1090	7446
Malta	340	6190
Comoving distance	344	14740
Shaanxi	129	1358
Lisbon	63	2579
Surfing	119	8750
Lyon	113	5131
George W. Bush	1367	3670
Organic compound	503	12942
Coal	218	1031
Petroleum	367	4961
Natural gas	147	6336
Energy	262	5378
Xenon	112	6750
Kuala Lumpur	182	5590
