article	simple	complex
Mackville, Kentucky	11	496
Madisonville, Kentucky	11	445
Manchester, Kentucky	11	396
Manor Creek, Kentucky	12	567
Marion, Kentucky	11	446
Martin, Kentucky	11	616
Maryhill Estates, Kentucky	12	513
Mayfield, Kentucky	44	393
Maysville, Kentucky	11	767
McHenry, Kentucky	11	416
McKee, Kentucky	11	754
Meadow Vale, Kentucky	12	545
Meadowbrook Farm, Kentucky	12	586
Meadowview Estates, Kentucky	12	431
Melbourne, Kentucky	11	393
Mentor, Kentucky	11	1536
Middletown, Kentucky	11	442
Midway, Kentucky	11	375
Millersburg, Kentucky	11	539
Milton, Kentucky	11	481
Mockingbird Valley, Kentucky	12	383
Monterey, Kentucky	11	1418
Monticello, Kentucky	11	2337
Moorland, Kentucky	11	396
Morehead, Kentucky	11	416
Morganfield, Kentucky	11	416
Morgantown, Kentucky	11	390
Mortons Gap, Kentucky	12	448
Mount Olivet, Kentucky	12	412
Mount Sterling, Kentucky	12	405
Mount Vernon, Kentucky	12	510
Mount Washington, Kentucky	12	722
Muldraugh, Kentucky	11	523
Munfordville, Kentucky	11	481
Murray, Kentucky	11	755
Murray Hill, Kentucky	12	393
Nebo, Kentucky	11	479
New Castle, Kentucky	12	414
New Haven, Kentucky	12	864
Newport, Kentucky	11	618
Nicholasville, Kentucky	11	791
Norbourne Estates, Kentucky	12	515
North Middletown, Kentucky	12	574
Northfield, Kentucky	11	546
Nortonville, Kentucky	11	567
Norwood, Kentucky	11	1118
Oak Grove, Kentucky	24	578
Oakland, Kentucky	11	546
Old Brownsboro Place, Kentucky	13	3176
Olive Hill, Kentucky	12	416
Orchard Grass Hills, Kentucky	18	386
Owensboro, Kentucky	11	476
Owenton, Kentucky	11	448
Owingsville, Kentucky	11	1337
Paducah, Kentucky	11	689
Paintsville, Kentucky	11	405
Paris, Kentucky	11	425
Park City, Kentucky	12	446
Park Hills, Kentucky	12	433
Park Lake, Kentucky	12	410
Parkway Village, Kentucky	34	470
Pembroke, Kentucky	11	443
Perryville, Kentucky	11	390
Pewee Valley, Kentucky	12	587
Pikeville, Kentucky	11	420
Pineville, Kentucky	11	1999
Pioneer Village, Kentucky	12	561
Pippa Passes, Kentucky	12	559
Plantation, Kentucky	11	3310
Pleasureville, Kentucky	11	1695
Plum Springs, Kentucky	12	1273
Poplar Hills, Kentucky	12	515
Powderly, Kentucky	11	793
Prestonsburg, Kentucky	11	428
Prestonville, Kentucky	11	467
Princeton, Kentucky	11	452
Prospect, Kentucky	11	807
Providence, Kentucky	44	417
Raceland, Kentucky	11	830
Radcliff, Kentucky	11	644
Ravenna, Kentucky	11	432
Raywick, Kentucky	11	603
Richlawn, Kentucky	11	414
River Bluff, Kentucky	12	606
Riverwood, Kentucky	11	422
Robards, Kentucky	11	417
Rochester, Kentucky	11	517
Rockport, Kentucky	11	849
Rolling Fields, Kentucky	12	442
Rolling Hills, Kentucky	12	691
Russell, Kentucky	11	682
Russell Springs, Kentucky	12	747
Russellville, Kentucky	32	722
Ryland Heights, Kentucky	12	1023
Sacramento, Kentucky	11	932
Sadieville, Kentucky	11	375
Salem, Kentucky	21	427
Salt Lick, Kentucky	12	416
Salyersville, Kentucky	11	409
Sanders, Kentucky	11	1083
Sandy Hook, Kentucky	12	429
Sardis, Kentucky	11	430
Science Hill, Kentucky	12	402
Scottsville, Kentucky	11	422
Sebree, Kentucky	11	802
Seneca Gardens, Kentucky	12	502
Sharpsburg, Kentucky	11	661
Shelbyville, Kentucky	11	433
Shepherdsville, Kentucky	11	588
Shively, Kentucky	11	406
Silver Grove, Kentucky	12	460
Simpsonville, Kentucky	11	405
Slaughters, Kentucky	11	1387
Smithfield, Kentucky	11	377
Simple Network Management Protocol	275	503
Smithland, Kentucky	11	402
Smiths Grove, Kentucky	43	518
Somerset, Kentucky	11	547
Sonora, Kentucky	11	611
South Carrollton, Kentucky	12	405
South Park View, Kentucky	13	424
South Shore, Kentucky	12	771
Southgate, Kentucky	11	783
Sparta, Kentucky	11	1095
Spring Mill, Kentucky	12	635
Spring Valley, Kentucky	12	452
Springfield, Kentucky	11	534
St. Charles, Kentucky	12	379
St. Matthews, Kentucky	27	2285
St. Regis Park, Kentucky	13	451
Stamping Ground, Kentucky	12	515
Stanford, Kentucky	11	1709
Stanton, Kentucky	11	413
Strathmoor Manor, Kentucky	12	425
Strathmoor Village, Kentucky	12	387
Sturgis, Kentucky	11	825
Sycamore, Kentucky	27	554
Taylor Mill, Kentucky	12	489
Taylorsville, Kentucky	11	403
Ten Broeck, Kentucky	12	404
Thornhill, Kentucky	11	460
Tompkinsville, Kentucky	11	396
Trenton, Kentucky	11	1254
Union, Kentucky	11	422
Uniontown, Kentucky	11	544
Upton, Kentucky	11	1077
Vanceburg, Kentucky	11	579
Versailles, Kentucky	11	525
Vicco, Kentucky	11	430
Villa Hills, Kentucky	12	478
Vine Grove, Kentucky	12	377
Wallins Creek, Kentucky	12	471
Walton, Kentucky	11	531
Warfield, Kentucky	11	391
Warsaw, Kentucky	11	355
Water Valley, Kentucky	12	638
Watterson Park, Kentucky	12	78
Wayland, Kentucky	11	582
Wellington, Kentucky	11	527
West Buechel, Kentucky	12	546
West Liberty, Kentucky	12	599
West Point, Kentucky	12	640
Westwood, Jefferson County, Kentucky	11	387
Wheatcroft, Kentucky	11	516
Wheelwright, Kentucky	11	454
White Plains, Kentucky	12	466
Whitesburg, Kentucky	11	697
Whitesville, Kentucky	11	502
Wickliffe, Kentucky	11	841
Wilder, Kentucky	11	406
Williamsburg, Kentucky	11	422
Williamstown, Kentucky	11	461
Willisburg, Kentucky	11	425
Winchester, Kentucky	11	440
Windy Hills, Kentucky	12	1301
Wingo, Kentucky	11	719
Woodburn, Kentucky	11	405
Woodbury, Kentucky	11	455
Woodland Hills, Kentucky	12	500
Woodlawn, Kentucky	11	419
Woodlawn Park, Kentucky	12	1429
Worthington, Kentucky	11	528
Worthington Hills, Kentucky	12	751
Worthville, Kentucky	11	505
Wurtland, Kentucky	11	1164
Wildwood, Kentucky	11	551
Wilmore, Kentucky	11	417
Alexandria, Virginia	37	757
Bedford, Virginia	11	447
Bristol, Virginia	11	416
Buena Vista, Virginia	38	424
Charlottesville, Virginia	102	434
Chesapeake, Virginia	11	428
Colonial Heights, Virginia	12	408
Covington, Virginia	11	520
Danville, Virginia	11	663
Emporia, Virginia	11	422
Fairfax, Virginia	12	393
Falls Church, Virginia	12	693
Franklin, Virginia	11	398
Fredericksburg, Virginia	43	527
Galax, Virginia	11	7490
Hampton, Virginia	11	763
Hopewell, Virginia	11	1115
Lexington, Virginia	11	680
Manassas Park, Virginia	12	3720
Manassas, Virginia	11	2948
Martinsville, Virginia	11	2540
Newport News, Virginia	30	899
Norton, Virginia	11	2378
Petersburg, Virginia	11	839
Poquoson, Virginia	11	2349
Radford, Virginia	11	3732
Roanoke, Virginia	11	1395
Salem, Virginia	11	2748
Staunton, Virginia	11	1404
Suffolk, Virginia	11	3652
Waynesboro, Virginia	11	1477
Williamsburg, Virginia	11	1093
Winchester, Virginia	11	745
Accomac, Virginia	16	1830
Alberta, Virginia	11	1497
Altavista, Virginia	11	6990
Amherst, Virginia	11	481
Appalachia, Virginia	11	5423
Appomattox, Virginia	28	2427
Ashland, Virginia	11	1626
Belle Haven, Accomack County, Virginia	31	7659
Berryville, Virginia	11	941
Big Stone Gap, Virginia	13	1981
Blacksburg, Virginia	76	2402
Blackstone, Virginia	11	1588
Bloxom, Virginia	11	6989
Bluefield, Virginia	11	3348
Boones Mill, Virginia	12	586
Bowling Green, Virginia	12	411
Boyce, Virginia	11	2115
Boydton, Virginia	11	439
Boykins, Virginia	11	671
Branchville, Virginia	11	831
Bridgewater, Virginia	11	809
Broadway, Virginia	11	451
Brodnax, Virginia	11	797
Brookneal, Virginia	11	1044
Buchanan, Virginia	11	3105
Burkeville, Virginia	11	707
Cape Charles, Virginia	12	416
Capron, Virginia	11	1135
Cedar Bluff, Virginia	12	419
Charlotte Court House, Virginia	13	1097
Chase City, Virginia	12	2093
Cheriton, Virginia	11	694
Chilhowie, Virginia	11	428
Chincoteague, Virginia	11	398
Christiansburg, Virginia	11	617
Claremont, Virginia	11	432
Clarksville, Virginia	11	414
Cleveland, Virginia	11	1385
Clifton Forge, Virginia	12	454
Clifton, Virginia	11	729
Clinchco, Virginia	11	703
Clinchport, Virginia	11	360
Clintwood, Virginia	11	434
Coeburn, Virginia	11	618
Colonial Beach, Virginia	12	446
Columbia, Virginia	11	426
Courtland, Virginia	11	499
Craigsville, Virginia	11	988
Crewe, Virginia	11	527
Culpeper, Virginia	11	689
Damascus, Virginia	11	875
Dayton, Virginia	11	420
Dendron, Virginia	11	597
Dillwyn, Virginia	11	2056
Drakes Branch, Virginia	12	411
Dublin, Virginia	11	437
Duffield, Virginia	11	459
Dumfries, Virginia	11	519
Dungannon, Virginia	17	1045
Eastville, Virginia	20	446
Edinburg, Virginia	13	753
Elkton, Virginia	13	428
Exmore, Virginia	13	714
Farmville, Virginia	13	1031
Fincastle, Virginia	13	508
Floyd, Virginia	13	611
Fries, Virginia	13	398
Front Royal, Virginia	14	414
Gate City, Virginia	14	413
Glade Spring, Virginia	14	446
Glasgow, Virginia	13	527
Glen Lyn, Virginia	14	1010
Gordonsville, Virginia	13	445
Goshen, Virginia	13	482
Gretna, Virginia	13	416
Grottoes, Virginia	13	1625
Grundy, Virginia	13	495
Halifax, Virginia	13	2293
Hallwood, Virginia	13	759
Hamilton, Virginia	13	646
Haymarket, Virginia	13	1170
Haysi, Virginia	13	1532
Herndon, Virginia	13	567
Hillsboro, Loudoun County, Virginia	26	962
Hillsville, Virginia	13	424
Honaker, Virginia	13	449
Hurt, Virginia	13	846
Independence, Virginia	13	470
Iron Gate, Virginia	14	456
Irvington, Virginia	13	585
Ivor, Virginia	13	1449
Jarratt, Virginia	13	460
Jonesville, Virginia	13	423
Keller, Virginia	13	781
Kenbridge, Virginia	13	583
Category:Biology stubs	20	903
Keysville, Virginia	13	1520
Kilmarnock, Virginia	13	490
La Crosse, Virginia	14	753
Lawrenceville, Virginia	13	526
Lebanon, Virginia	13	433
Leesburg, Virginia	31	503
Louisa, Virginia	13	394
Lovettsville, Virginia	13	763
Luray, Virginia	13	705
Madison, Virginia	13	433
Marion, Virginia	13	595
McKenney, Virginia	13	418
Melfa, Virginia	13	434
Middleburg, Virginia	13	23
Middletown, Virginia	13	521
Mineral, Virginia	13	497
Monterey, Virginia	13	465
Montross, Virginia	13	499
Mount Crawford, Virginia	14	425
Mount Jackson, Virginia	15	2411
Narrows, Virginia	13	520
Nassawadox, Virginia	13	565
New Castle, Virginia	14	712
New Market, Virginia	14	394
Newsoms, Virginia	13	930
Nickelsville, Virginia	11	412
Occoquan, Virginia	13	421
Onancock, Virginia	13	652
Onley, Virginia	13	545
Orange, Virginia	13	466
Painter, Virginia	13	504
Pamplin City, Virginia	14	753
Parksley, Virginia	13	453
Pearisburg, Virginia	13	458
Pembroke, Virginia	13	474
Pennington Gap, Virginia	14	510
Phenix, Virginia	13	488
Pocahontas, Virginia	13	586
Port Royal, Virginia	14	385
Pound, Virginia	13	447
Pulaski, Virginia	13	745
Purcellville, Virginia	13	420
Quantico, Virginia	13	435
Remington, Virginia	13	1087
Rich Creek, Virginia	49	418
Richlands, Virginia	13	561
Ridgeway, Virginia	13	426
Black-legged Dart Frog	33	443
Junglefowl	93	434
Red Junglefowl	62	606
Rocky Mount, Virginia	14	393
Round Hill, Loudoun County, Virginia	12	1263
Rural Retreat, Virginia	14	859
Saltville, Virginia	15	880
Saxis, Virginia	13	641
Scottsburg, Virginia	13	1690
Scottsville, Virginia	13	569
Shenandoah, Virginia	13	675
Smithfield, Virginia	13	425
South Boston, Virginia	14	437
South Hill, Virginia	14	485
St. Charles, Virginia	14	580
St. Paul, Virginia	14	198
Stanardsville, Virginia	13	798
Stanley, Virginia	13	585
Stephens City, Virginia	223	919
Stony Creek, Virginia	14	411
Strasburg, Virginia	13	952
Stuart, Virginia	13	426
Surry, Virginia	13	399
Tangier, Virginia	13	823
Tappahannock, Virginia	13	1937
Tazewell, Virginia	13	1590
The Plains, Virginia	14	606
Timberville, Virginia	13	834
Toms Brook, Virginia	14	508
Troutdale, Virginia	13	497
Troutville, Virginia	13	465
Urbanna, Virginia	13	406
Victoria, Virginia	13	3600
Vienna, Virginia	13	398
Vinton, Virginia	13	1287
Virgilina, Virginia	13	1956
Wachapreague, Virginia	13	449
Wakefield, Virginia	13	2696
Warrenton, Virginia	13	540
Warsaw, Virginia	13	479
Washington, Virginia	13	672
Waverly, Virginia	13	403
Weber City, Virginia	14	454
West Point, Virginia	14	486
White Stone, Virginia	12	496
Windsor, Virginia	13	682
Wise, Virginia	13	1865
Woodstock, Virginia	13	1562
Wytheville, Virginia	13	757
Abingdon, Illinois	11	396
Albion, Illinois	11	1071
Aledo, Illinois	11	671
Alsip, Illinois	11	1005
Altamont, Illinois	11	550
Amboy, Illinois	11	886
Anna, Illinois	11	780
Arcola, Illinois	11	666
Ashley, Illinois	11	1130
Assumption, Illinois	11	467
Athens, Illinois	11	856
Atlanta, Illinois	11	666
Auburn, Illinois	11	679
Aurora, Illinois	11	818
Ava, Illinois	11	537
Barry, Illinois	11	751
Batavia, Illinois	11	985
Beardstown, Illinois	11	1021
Belleville, Illinois	11	3246
Belvidere, Illinois	11	490
Benld, Illinois	11	449
Benton, Illinois	11	893
Berwyn, Illinois	11	442
Blue Island, Illinois	12	870
Braidwood, Illinois	11	451
Breese, Illinois	11	415
Bridgeport, Illinois	11	437
Brookport, Illinois	11	4160
Bunker Hill, Illinois	12	406
Burbank, Illinois	27	408
Bushnell, Illinois	11	940
Byron, Illinois	11	1037
Cairo, Illinois	11	1644
Calumet City, Illinois	12	1103
Canton, Illinois	11	919
Carbondale, Illinois	11	846
Carlinville, Illinois	11	2122
Carlyle, Illinois	11	7523
Carmi, Illinois	11	824
Carrollton, Illinois	11	505
Carterville, Illinois	11	477
Carthage, Illinois	11	522
Casey, Illinois	11	1730
Centralia, Illinois	11	911
Centreville, Illinois	11	860
Champaign, Illinois	11	962
Charleston, Illinois	11	1237
Chenoa, Illinois	11	1842
Chester, Illinois	11	929
Chicago Heights, Illinois	12	3428
Chillicothe, Illinois	11	1121
Chrisman, Illinois	11	946
Christopher, Illinois	11	394
Clinton, Illinois	11	434
Coffeen, Illinois	11	1019
Colchester, Illinois	11	1062
Collinsville, Illinois	11	471
Colona, Illinois	11	1757
Columbia, Illinois	11	478
Country Club Hills, Illinois	13	2695
Countryside, Illinois	11	1397
Creal Springs, Illinois	12	2475
Crest Hill, Illinois	12	2250
Crystal Lake, Illinois	12	1317
Cuba, Illinois	11	680
Dallas City, Illinois	12	449
Danville, Illinois	11	478
Darien, Illinois	11	813
DeKalb, Illinois	19	421
Delavan, Illinois	11	579
Des Plaines, Illinois	12	962
Dixon, Illinois	11	562
Du Quoin, Illinois	12	1703
Earlville, Illinois	11	902
East Dubuque, Illinois	12	836
East Moline, Illinois	12	694
East Peoria, Illinois	12	579
East St. Louis, Illinois	13	5139
Edwardsville, Illinois	11	420
Effingham, Illinois	11	456
El Paso, Illinois	12	1053
Eldorado, Illinois	11	1274
Elgin, Illinois	11	1323
Elmhurst, Illinois	11	655
Elmwood Park, Illinois	12	1318
Eureka, Illinois	31	1060
Evanston, Illinois	11	1007
Fairbury, Illinois	11	974
Fairfield, Illinois	11	537
Fairview Heights, Illinois	12	455
Farmer City, Illinois	12	739
Farmington, Illinois	11	3010
Flora, Illinois	11	1255
Fox Lake, Illinois	12	1290
Freeport, Illinois	11	602
Fulton, Illinois	11	645
Galena, Illinois	11	3048
Galesburg, Illinois	11	787
Galva, Illinois	11	544
Geneseo, Illinois	11	799
Geneva, Illinois	11	2854
Genoa, Illinois	11	1998
Georgetown, Illinois	11	643
Gibson City, Illinois	12	462
Gillespie, Illinois	11	633
Gilman, Illinois	11	489
Girard, Illinois	11	645
Golconda, Illinois	26	750
Goreville, Illinois	11	1812
Grafton, Illinois	11	578
Grand Tower, Illinois	12	1504
Granite City, Illinois	12	1778
Grayslake, Illinois	11	542
Grayville, Illinois	11	644
Greenfield, Illinois	11	698
Greenville, Illinois	11	668
Griggsville, Illinois	11	547
Hamilton, Illinois	11	649
Harrisburg, Illinois	11	461
Harvard, Illinois	11	1627
Harvey, Illinois	11	450
Havana, Illinois	11	593
Henry, Illinois	11	430
Herrin, Illinois	11	1218
Hickory Hills, Illinois	12	516
Highland Park, Illinois	12	2549
Highland, Illinois	11	1549
Highwood, Illinois	11	711
Hillsboro, Illinois	11	436
Hometown, Illinois	11	2528
Hoopeston, Illinois	11	738
Hurst, Illinois	11	668
Jacksonville, Illinois	11	7364
Jerseyville, Illinois	11	1520
Johnston City, Illinois	12	837
Joliet, Illinois	75	351
Kankakee, Illinois	11	554
Keithsburg, Illinois	17	1610
Kewanee, Illinois	11	533
Kinmundy, Illinois	11	1067
Knoxville, Illinois	11	879
La Harpe, Illinois	12	714
Lacon, Illinois	11	504
Lake Forest, Illinois	12	496
Lanark, Illinois	11	791
LaSalle, Illinois	11	626
Lawrenceville, Illinois	11	1599
Le Roy, Illinois	12	1591
Lebanon, Illinois	11	443
Leland Grove, Illinois	12	2981
Lena, Illinois	11	1022
Lewistown, Illinois	11	611
Lexington, Illinois	11	947
Lincoln, Illinois	11	463
Lisle, Illinois	14	1152
Litchfield, Illinois	11	1291
Lockport, Illinois	11	472
Lombard, Illinois	11	1818
Macomb, Illinois	11	458
Macon, Illinois	11	919
Madison, Illinois	11	515
Marengo, Illinois	11	1966
Marion, Illinois	421	507
Markham, Illinois	11	426
Maroa, Illinois	11	1487
Marquette Heights, Illinois	12	487
Marseilles, Illinois	11	2056
Marshall, Illinois	11	1101
Martinsville, Illinois	11	1009
Mascoutah, Illinois	11	599
Mason City, Illinois	12	592
Mattoon, Illinois	11	1274
McHenry, Illinois	11	810
McLeansboro, Illinois	11	573
Mendota, Illinois	11	475
Metropolis, Illinois	11	505
Midlothian, Illinois	11	3514
Minonk, Illinois	11	1057
Mokena, Illinois	11	436
Moline, Illinois	11	714
Momence, Illinois	11	592
Monmouth, Illinois	11	765
Monticello, Illinois	11	441
Morris, Illinois	11	693
Morrison, Illinois	11	443
Mound City, Illinois	12	1585
Mounds, Illinois	11	575
Mount Carmel, Illinois	12	514
Mount Carroll, Illinois	12	1073
Mount Olive, Illinois	12	1701
Mount Pulaski, Illinois	12	1225
Mount Sterling, Illinois	12	734
Mount Vernon, Illinois	12	742
Murphysboro, Illinois	11	7575
Naperville, Illinois	20	496
Nashville, Illinois	11	980
Nason, Illinois	11	904
Nauvoo, Illinois	77	911
Neoga, Illinois	11	489
New Boston, Illinois	12	550
Newman, Illinois	11	439
Newton, Illinois	11	1416
Nokomis, Illinois	11	454
Normal, Illinois	11	417
North Chicago, Illinois	12	447
Northlake, Illinois	11	428
O'Fallon, Illinois	11	2856
Oak Forest, Illinois	12	1011
Oakbrook Terrace, Illinois	12	3232
Oakland, Illinois	11	559
Oglesby, Illinois	11	790
Olney, Illinois	11	2213
Oneida, Illinois	11	482
Oregon, Illinois	11	614
Orient, Illinois	11	495
Orland Park, Illinois	12	828
Ottawa, Illinois	11	462
Palos Heights, Illinois	12	1465
Palos Hills, Illinois	12	1001
Pana, Illinois	11	511
Paris, Illinois	11	800
Park City, Illinois	12	1614
Park Ridge, Illinois	12	578
Paxton, Illinois	11	620
Pekin, Illinois	11	663
Peru, Illinois	11	1191
Petersburg, Illinois	11	672
Pinckneyville, Illinois	11	1148
Pittsfield, Illinois	11	403
Plano, Illinois	11	1598
Pleasant Hill, Illinois	18	1492
Polo, Illinois	11	1069
Pontiac, Illinois	11	550
Princeton, Illinois	11	732
Prophetstown, Illinois	11	885
Prospect Heights, Illinois	12	550
Red Bud, Illinois	12	1495
Robinson, Illinois	11	1950
Rochelle, Illinois	11	2050
Rock Falls, Illinois	12	1074
Rock Island, Illinois	28	1105
Rockford, Illinois	56	462
Rolling Meadows, Illinois	12	1236
Roodhouse, Illinois	11	1280
Rosiclare, Illinois	11	527
Roxana, Illinois	11	505
Rushville, Illinois	11	3109
Salem, Illinois	11	1808
Sandwich, Illinois	39	661
Savanna, Illinois	11	806
Sesser, Illinois	11	901
Shawneetown, Illinois	11	507
Shelbyville, Illinois	11	912
Silvis, Illinois	11	613
South Beloit, Illinois	12	1332
Sparta, Illinois	11	4981
Spring Valley, Illinois	12	1496
St. Charles, Illinois	12	420
St. Elmo, Illinois	12	523
St. Francisville, Illinois	12	2006
Staunton, Illinois	11	396
Sterling, Illinois	11	524
Streamwood, Illinois	11	1425
Streator, Illinois	11	828
Sullivan, Illinois	11	425
Sumner, Illinois	11	483
Sycamore, Illinois	11	810
Vandalia, Illinois	52	531
Venice, Illinois	11	2037
Vienna, Illinois	11	593
Villa Grove, Illinois	12	1709
Villa Park, Illinois	12	1350
Virden, Illinois	11	448
Virginia, Illinois	14	420
Wamac, Illinois	11	716
Warrenville, Illinois	11	1885
Warsaw, Illinois	11	1041
Washington, Illinois	11	6045
Waterloo, Illinois	11	524
Watseka, Illinois	11	411
Waukegan, Illinois	11	1764
Waverly, Illinois	11	1030
Wenona, Illinois	11	414
West Chicago, Illinois	12	529
West Frankfort, Illinois	12	543
West Peoria, Illinois	12	1257
Wheaton, Illinois	11	1200
White Hall, Illinois	12	529
Wilmington, Will County, Illinois	18	471
Winchester, Illinois	20	1240
Windsor, Shelby County, Illinois	14	725
Witt, Illinois	11	1081
Wood Dale, Illinois	12	2018
Wood River, Illinois	12	688
Woodstock, Illinois	11	1989
Wyoming, Illinois	11	492
Yorkville, Illinois	22	521
Zeigler, Illinois	11	884
Zion, Illinois	11	936
Real Time Streaming Protocol	113	443
Alexandria, Indiana	15	2424
Anderson, Indiana	15	448
Angola, Indiana	15	441
Attica, Indiana	15	405
Auburn, Indiana	15	408
Aurora, Indiana	15	416
Batesville, Indiana	15	473
Bedford, Indiana	15	1315
Beech Grove, Indiana	16	1336
Berne, Indiana	15	758
Bicknell, Indiana	15	1131
Bloomington, Indiana	17	426
Bluffton, Indiana	15	1093
Boonville, Indiana	15	682
Brazil, Indiana	24	886
Butler, Indiana	15	1700
Cannelton, Indiana	15	817
Carmel, Indiana	15	556
Charlestown, Indiana	15	1689
Clinton, Indiana	15	481
Columbia City, Indiana	16	2150
Columbus, Indiana	15	886
Connersville, Indiana	15	3751
Covington, Indiana	15	744
Crawfordsville, Indiana	15	524
Crown Point, Indiana	16	2005
Decatur, Indiana	15	554
Delphi, Indiana	15	640
Dunkirk, Indiana	15	1088
East Chicago, Indiana	16	534
Elkhart, Indiana	18	508
Elwood, Indiana	15	1767
Evansville, Indiana	15	695
Fort Wayne, Indiana	51	802
Frankfort, Indiana	15	535
Franklin, Indiana	15	1843
Garrett, Indiana	15	1001
Gary, Indiana	15	496
Gas City, Indiana	16	1836
Goshen, Indiana	15	1378
Greencastle, Indiana	15	580
Greendale, Indiana	15	439
Greenfield, Indiana	15	453
Greensburg, Indiana	15	781
Greenwood, Indiana	19	3194
Hammond, Indiana	27	562
Hartford City, Indiana	16	5774
Hobart, Indiana	15	5631
Huntingburg, Indiana	15	672
Huntington, Indiana	15	1355
Jasonville, Indiana	16	705
Jasper, Indiana	25	3385
Jeffersonville, Indiana	16	492
Jonesboro, Indiana	15	1264
Kendallville, Indiana	15	964
Knox, Indiana	15	446
Kokomo, Indiana	15	1057
La Porte, Indiana	16	1407
Lafayette, Indiana	26	449
Lake Station, Indiana	16	1898
Lawrence, Indiana	15	2864
Lawrenceburg, Indiana	15	1363
Lebanon, Indiana	15	640
Ligonier, Indiana	15	589
Linton, Indiana	20	484
Logansport, Indiana	15	1170
Loogootee, Indiana	16	2037
Madison, Indiana	15	425
Marion, Indiana	15	506
Martinsville, Indiana	28	527
Michigan City, Indiana	16	1796
Mishawaka, Indiana	139	1208
Mitchell, Indiana	15	1371
Monticello, Indiana	15	1536
Montpelier, Indiana	11	477
Mount Vernon, Indiana	12	645
Muncie, Indiana	11	819
Nappanee, Indiana	11	581
New Albany, Indiana	12	1110
New Haven, Indiana	12	2012
Noblesville, Indiana	29	994
North Vernon, Indiana	12	2062
Oakland City, Indiana	12	2592
Peru, Indiana	11	1044
Petersburg, Indiana	13	1846
Plymouth, Indiana	11	1549
Portage, Indiana	11	1128
Portland, Indiana	26	1253
Princeton, Indiana	14	2085
Rensselaer, Indiana	11	1224
Richmond, Indiana	11	1763
Rising Sun, Indiana	12	642
Rochester, Indiana	11	1793
Rockport, Indiana	11	1076
Rushville, Indiana	11	1199
Salem, Indiana	11	437
Scottsburg, Indiana	11	643
Seymour, Indiana	11	629
Shelbyville, Indiana	11	522
South Bend, Indiana	61	855
Southport, Indiana	11	2195
Sullivan, Indiana	11	465
Tell City, Indiana	12	1753
Terre Haute, Indiana	12	821
Tipton, Indiana	11	2149
Union City, Indiana	12	501
Valparaiso, Indiana	11	479
Vincennes, Indiana	11	1099
Wabash, Indiana	11	493
Warsaw, Indiana	11	1132
Washington, Indiana	11	543
West Lafayette, Indiana	12	735
Whiting, Indiana	11	990
Winchester, Indiana	11	4829
Woodburn, Indiana	11	459
August Krogh	37	472
Ackley, Iowa	11	1261
Ackworth, Iowa	11	3241
Adair, Iowa	11	898
Adel, Iowa	11	559
Afton, Iowa	11	2592
Agency, Iowa	27	2546
Ainsworth, Iowa	11	487
Akron, Iowa	11	1414
Albert City, Iowa	12	461
Albia, Iowa	11	1618
Albion, Iowa	11	1063
Alburnett, Iowa	11	500
Alden, Iowa	11	489
Alexander, Iowa	11	552
Algona, Iowa	11	1536
Alleman, Iowa	11	408
Allerton, Iowa	26	632
Allison, Iowa	11	882
Alta Vista, Iowa	12	406
Alta, Iowa	11	532
Alton, Iowa	11	433
Altoona, Iowa	11	416
Alvord, Iowa	11	418
Ames, Iowa	116	601
Anamosa, Iowa	11	404
Andover, Iowa	11	877
Andrew, Iowa	11	539
Anita, Iowa	11	408
Ankeny, Iowa	11	1015
Anthon, Iowa	11	541
Aplington, Iowa	11	790
Arcadia, Iowa	11	433
Archer, Iowa	28	382
Aredale, Iowa	21	439
Argyle, Iowa	11	436
Arion, Iowa	11	616
Arispe, Iowa	11	372
Arlington, Iowa	11	2381
Armstrong, Iowa	28	1262
Arnolds Park, Iowa	12	383
Arthur, Iowa	11	722
Asbury, Iowa	11	428
Ashton, Iowa	11	1416
Aspinwall, Iowa	11	493
Atalissa, Iowa	18	470
Atkins, Iowa	11	491
Atlantic, Iowa	11	450
Auburn, Iowa	11	592
Audubon, Iowa	11	89
Aurelia, Iowa	11	413
Aurora, Iowa	11	399
Avoca, Iowa	11	405
Ayrshire, Iowa	11	428
Badger, Iowa	20	539
Bagley, Iowa	11	380
Baldwin, Iowa	11	1401
Balltown, Iowa	11	424
Bancroft, Iowa	11	358
Bankston, Iowa	11	412
Barnes City, Iowa	12	488
Barnum, Iowa	11	749
Bassett, Iowa	20	393
Batavia, Iowa	11	427
Battle Creek, Iowa	12	568
Baxter, Iowa	26	394
Bayard, Iowa	11	429
Beacon, Iowa	11	529
Beaconsfield, Iowa	11	400
Beaman, Iowa	11	434
Beaver, Iowa	11	417
Bedford, Iowa	11	414
Belle Plaine, Iowa	12	406
Bellevue, Iowa	11	388
Belmond, Iowa	45	394
Bennett, Iowa	11	422
Benton, Iowa	11	360
Berkley, Iowa	11	409
Bernard, Iowa	11	420
Bertram, Iowa	16	401
Berwick, Iowa	11	432
Bettendorf, Iowa	11	410
Bevington, Iowa	20	465
Birmingham, Iowa	19	393
Blairsburg, Iowa	11	435
Blairstown, Iowa	11	676
Blakesburg, Iowa	13	539
Blanchard, Iowa	11	718
Blencoe, Iowa	11	1242
Blockton, Iowa	11	517
Bloomfield, Iowa	11	360
