article	simple	complex	simple_size	complex_size
Brandenburg	11.318176802336756	13.854860417253269	89	1667
Russian language	10.913123188378753	8.609551326632964	589	5192
1978	10.0	7.418374695923912	16	25
1982	10.0	10.0	17	21
Professor	40.902508765530555	3.6411666182199287	35	9456
Slope	41.813183236105694	7.713963734592109	61	1074
California	7.227773549284421	10.421643517314214	1285	9593
Propaganda	10.87552861741367	23.83123046749064	666	11327
Topology	5.216753675033192	4.105903103922719	365	2062
Los Angeles	12.199991172662186	8.121131670033902	554	7860
Census	22.848213579504282	17.16788448634138	44	9840
Star	10.309880741416801	10.085733455767082	1598	9651
Creative Commons	8.761698819058001	10.418034192282455	296	2798
Wikipedia:Image use policy	13.814578581301241	11.448413319457167	187	4163
HTML	4.676834818475214	4.275293334120448	576	4279
Leg	22.154962100530025	19.501593668373875	125	210
Economic sector	19.976450226047785	22.765562024174457	81	53
Yellow	-1.0	15.22680453390707	1	1214
Plymouth Argyle F.C.	13.785049928374674	18.836166448307058	342	8435
Football	4.938666939218755	13.326875745261347	177	9230
Poland	7.503002525856498	13.316520936125142	2418	18221
England	11.465701225807296	15.285422124844649	1510	12934
Wales	10.850077921330877	11.88738305907986	296	17226
Scotland	17.173558365752434	11.050515824372996	2112	10305
Northern Ireland	17.97742522487549	10.24004510804198	501	9767
Great Britain	8.659461803313976	8.656756278422346	263	3900
Scottish Football League	8.65107430174443	5.116472286106869	10	1401
1967	10.0	7.418374695923912	17	25
Welsh League	7.802060150267352	15.136312421506004	22	2140
Arsenal F.C.	13.1877795432258	19.59768107799078	229	5645
Aston Villa F.C.	8.184292884128189	12.278913157530615	32	4346
Birmingham City F.C.	8.88585659032744	20.641929770785	33	4984
Blackburn Rovers F.C.	12.00759536209808	16.64108279995739	54	3310
Bolton Wanderers F.C.	10.925602067047679	16.051725534622612	87	4136
Charlton Athletic F.C.	8.493667871387375	21.220579757244728	20	4168
Chelsea F.C.	16.222766617184845	16.539846540784612	578	4940
Everton F.C.	15.710992890391267	17.9375256606787	1466	5033
Fulham F.C.	14.337518006729647	21.485850674984494	411	5646
Liverpool F.C.	15.50769092365802	15.893584823861442	413	5681
Manchester City F.C.	15.679873521487313	9.177333591036549	114	4143
Manchester United F.C.	12.696666138039511	23.025604181631408	253	6164
Middlesbrough F.C.	9.228588976623504	18.661941832624002	41	3710
Newcastle United F.C.	14.83262380302684	18.331566776974967	327	9786
Portsmouth F.C.	10.152325837622973	14.791987426985184	71	6272
Tottenham Hotspur F.C.	13.645014806830233	17.304918469325354	173	3475
Derby County F.C.	14.26682664103219	23.935971357387473	1501	5655
Ipswich Town F.C.	16.141446367169838	19.44323847373094	1284	3345
Sunderland A.F.C.	9.876165511919414	13.275187410243854	138	4445
West Bromwich Albion F.C.	7.717219222242569	21.89301012778433	27	5684
West Ham United F.C.	10.390630040973836	19.849548912248455	78	7595
Wigan Athletic F.C.	11.59449288962779	18.793465900649558	65	5108
Wimbledon F.C.	14.132858412780877	20.27913216218783	911	5005
Accrington Stanley F.C.	8.056348466931478	22.389634073779693	73	1327
Telford United F.C.	6.926621321828793	23.298461721809883	42	1523
Sheffield F.C.	9.120585984870635	14.715339699892601	54	1690
Asteroid belt	10.775087415912676	6.333030833407612	513	5532
Essen	10.253372633791589	10.5388948313085	1188	5935
Gardening	9.583585672272385	14.777719339223916	359	2924
Democracy	9.810038137021579	5.850491334244482	624	7136
Game	13.041215469266293	13.952376414080051	202	4477
Nebraska	12.158448151159847	13.868664867946643	140	3224
Time	11.740406727894346	7.213847109724251	192	6504
Laboratory techniques	43.1747338028228	33.85626269678207	13	59
International System of Units	12.06586060704725	12.48435362660012	732	1625
Lake Michigan	13.860187048446441	13.128843384606297	73	2023
Gas syringe	10.644533813293931	15.047886450206004	51	497
Mixture	14.386370260874727	14.737765664081289	197	764
Chess	10.826229218235842	11.452090110570866	2893	8492
Gold	14.373141598667605	5.833403549276687	181	7671
Century	12.903557136072124	16.320328760637825	150	476
Kilogram	4.928237381589898	14.275997940625098	534	7594
Second	12.821221837854536	12.230527418657152	1143	2104
M-theory	4.97771880596128	4.243334004775854	1014	2924
Scientific method	16.616200054624628	10.215223357914653	536	8478
Gas	13.027776551535286	11.285485061141795	665	5037
Family	5.334198502330618	14.283770715176763	177	3508
Weapon	20.644308666230852	14.864607863541558	580	1609
Christmas cake	10.61628157477833	10.669012241562864	242	598
Christmas cracker	9.7138420899463	22.73867660840242	56	696
Floodlight	12.401115206053447	-1.0	37	12
Headrest	24.22867826012575	23.2909609335085	53	242
Jack-in-the-box	42.234540886206325	20.933164124226675	63	179
City of London	9.789779594462553	14.902532091564074	454	8793
City of Westminster	9.257344820222654	7.77066280226929	41	1123
London Borough of Lambeth	6.653374410856513	11.093668087953038	20	1228
London Borough of Southwark	7.723819488564876	12.945908377307285	18	1817
London Borough of Camden	8.814135486054665	20.879384446004472	19	1757
London Borough of Merton	8.63724530462102	12.481828815877432	18	1112
Brixton	8.68753304868224	11.325331158388556	28	6395
Bankside	11.043625940495996	18.9364858825116	21	483
River Thames	14.7945021994117	12.21003265212553	811	8350
Male	14.517314925034746	15.438455329234786	79	839
Female	14.65187709287797	13.745179900851738	176	1068
London Borough of Greenwich	5.439478627620018	16.686932874726793	17	973
London Borough of Wandsworth	7.912978727444118	11.632229523666403	18	881
London Borough of Islington	7.863940808855776	15.017034779027412	17	607
Bambuco	7.731410262328315	23.409222366280535	81	108
Christmas	11.263012228836338	7.321847403139401	4646	8354
Adjective	7.2698643742132365	6.172538730287669	615	1774
Paper	12.215384003687959	9.024894126381081	937	2292
Perimeter	6.675787484912332	20.131006191246385	150	204
Nation	17.6906166226912	24.5527249944085	199	5002
Metal	14.335816149201237	13.50962481249247	1281	2708
Indonesia	7.91853800917693	14.183872585142286	680	5628
Property	12.257950396690505	6.067227085120342	263	5613
Aberystwyth Town F.C.	4.490044305442027	20.722197938794757	55	383
Wikipedia:Bureaucrat log	-1.0	10.0	29	30
German language	15.56299033900028	13.01515662329567	223	7812
Mississippi River	9.623320109386382	9.839131291715855	260	6306
Tributary	15.424144273614775	9.898729141317498	69	228
Missouri River	9.769384873911346	14.96114363858771	289	10109
Meaning of life	15.641644952422254	14.014175888994979	266	10670
Great Plains	8.64369536849948	11.583406087063171	16	2226
Minnesota River	9.487123891699653	15.999319743055215	123	513
Mythology	10.061431705361816	3.320628843499859	120	2357
Wisconsin River	10.599237837483436	17.379844421879	174	1026
Alaska	9.202607975806472	9.340413383482609	257	9151
Illinois River	9.941403533020663	16.049126635943804	197	1170
Milk	10.148401359223735	4.080224491342028	507	7635
Weather	11.899921552148168	13.23757133136759	170	2458
British Columbia	9.289863669307882	11.420746442997112	283	10308
20th century	17.132921364915887	14.72474936333024	60	2740
Brussels	11.525761724796336	5.3826320949712105	167	5797
Thuringia	7.833826249331211	12.902287777934827	211	951
Saxony	11.578270155617908	7.243994384275317	215	2676
Internet Explorer	7.5784554093771295	5.961225776875025	6765	6997
Ulster	12.187409523567537	8.822017184951495	91	4975
List of mathematicians	-1.0	-1.0	8	8
Mancala	21.127938578125136	12.375156826503408	35	1423
Coden, Alabama	17.48811419204003	12.81046528451601	197	99
Platypus	4.831191042429451	5.387556435019471	1292	4297
Kenya	9.68594815197358	14.184202601664708	918	7842
Swahili language	8.363501510557125	14.903933583065037	150	3670
Long jump	27.44740873224615	14.547381251411794	53	2855
Elizabeth II	9.266631155725545	18.533364776155327	3549	6929
Question	10.0	11.75229000096353	110	2225
Gun	12.603327063821327	8.382189151122555	746	1258
Hobby	10.740684344920208	16.217880630070187	649	3069
World Trade Center	17.83102556289933	13.298230713879464	256	7863
Hour	21.753922999783608	28.458224289180524	47	590
Minute	-1.0	19.921803161142073	45	227
Head	9.837456237592837	20.502212617701673	122	636
Norway	11.382190393221777	12.617333908808167	1066	13371
Albania	12.381904502404405	12.199174535337058	246	7395
Hungary	10.973848598667201	13.106802362331894	1155	15764
Netherlands	12.341899023521025	15.710387491602518	1622	9139
Ukraine	12.740800437450153	11.103790914543376	435	17388
Liechtenstein	4.322164180002564	12.668006309996182	139	4704
Portugal	16.213090091309464	13.108021721507951	453	14232
Slovakia	7.010806940197019	12.446056190578835	811	6970
Slovenia	9.490407176784307	13.288638883140726	161	9635
Oldham Cricket Club	10.247574598507553	15.139651146135305	29	105
Denarius	12.468158513382164	15.480424685686234	70	1117
Luffa	12.914138116674838	10.996685603955914	60	395
Kimono	4.3893412133569605	6.529433742347858	376	4653
Culture	17.541296343790716	10.891484885784953	532	15898
Houseplant	14.522751359298326	6.166591917614773	26	2531
Japanese tea ceremony	3.366963820963889	13.22508259554378	351	5654
Sideboard	10.959261911975666	20.080830889736237	33	262
Holland	9.408141863524603	14.187071741097744	239	2990
Isotope	8.155943195765886	10.205331411768936	573	3499
Power network	29.33934483841925	18.99461885451167	224	1644
Citizenship	22.370880937454256	7.594699498411515	130	2335
Elephant	6.6400073360889476	8.098805757050595	1046	9173
Buddhism	14.109078492486674	10.107157132693475	1175	4247
Black hole	7.967337709769657	8.663710763618228	1979	7740
Sheffield	12.394912333264676	14.009458678690867	287	8704
Fertilizer	25.465500094727442	3.406493591145386	157	3061
Military	12.337676349928676	9.927316698909342	790	7299
Photosynthesis	8.917551742636425	6.9966732706091115	448	4950
Casserole	12.619461261100364	19.807584157918978	87	566
Flea	3.6372162921430955	8.722391318017783	253	2673
Terrorism	8.092948398919223	3.769316243447775	139	4596
Krishna	11.351772872486995	7.329614702059394	259	7197
South Africa	9.22971031784114	9.043024276570332	2590	12015
Andorra	9.717333198071037	11.103399691383549	47	3546
Hiroshima	11.381558267978136	10.040805979131042	331	3002
Day	16.238009169300266	15.117433824061397	73	2330
Sphere	12.724716365556123	3.0826008977613357	89	1639
Quantity	11.290180971519554	10.917174289814087	328	1868
Advertising	15.4756234522992	12.810799029251024	494	6924
Flag of the United States	10.21968144997484	11.429587992569259	239	4339
Mohandas Karamchand Gandhi	16.68622145447129	19.103759796933005	569	12252
Schizophrenia	4.538445223642883	6.557213484258999	830	4610
Drink	12.725735124908159	11.83072495684361	77	577
Need	13.988060439958765	12.702985809858454	270	1457
Freeware	16.026420374462706	17.935078389589204	47	424
Yahoo!	14.2801593421087	13.114126443237154	159	4616
Mecca	8.034200084127454	7.788222384874446	273	5520
Arabian Peninsula	16.35258810570522	12.408635040148772	136	3278
South	18.771771558311656	14.041875751439436	62	196
Central America	12.977929122397747	16.57357445864791	182	1384
French language	12.712597986714435	12.290342521009718	321	4487
Prime minister	24.86637028283195	20.989304476514246	88	1249
Greenland	12.420542747902157	13.464820393980293	213	4720
Monarch	9.028209991221885	7.684027244109218	122	2758
Uncle	10.0	32.93173213518667	55	147
Information	17.224664028418015	15.142976142981844	285	1946
Ice	11.416157199783006	10.863074290603123	838	6565
Travel	13.143243080988299	3.059165491154682	128	4466
CNN	7.017112035877457	16.74466977768548	64	271
Linux	14.37692384571726	5.448442197221404	1463	3766
Open source	12.393931102230164	13.295084345525119	169	5147
Desktop environment	9.968077510363512	11.77760388695347	198	4613
OpenOffice.org	11.452673542443158	7.7030622729520015	147	1361
GNOME	8.644906760194962	6.494856635075093	104	4528
Dog	3.022700101150099	7.9099566670743595	714	1435
Blindness	16.565656707089854	4.1831927930644435	152	9770
Arctic	10.802261184163886	5.934375568384781	2673	4065
Sin	14.624924508109663	11.742946818430251	161	2274
Summer	15.100380270625328	14.021120017017996	130	1125
Month	17.872533652153503	11.181580988200844	121	969
Alberta	10.14285437285297	8.611905637724991	205	2516
Electronics	12.692403417679255	15.64532491461409	1017	8458
Photon	8.116710317250288	8.827808244355438	595	1346
Soap bubble	8.313191939522621	9.081620760648965	106	6712
Fire Brigades Union	9.903274616426092	21.223084305809564	70	1893
Force	25.026091383472412	21.839783408389135	181	602
Bicycle	6.717403646139835	7.256990075870827	801	9366
Wheel	16.91757573687694	6.95289392361493	118	5493
Writing	12.300643034656973	13.638420374291101	1877	1661
Plato	11.830068985229971	8.605832579634658	349	3091
Book	14.029536147937886	10.032896930457444	913	8376
Sundial	8.139877501804733	13.436092437627845	121	8176
Derivative	24.660930566599365	8.633975590293735	16	9216
Combinatorial game theory	7.373921662222659	4.9847608741933485	542	5628
Nim	6.499983530650007	6.845378409679668	46	1781
Blue	13.926864890642536	11.534347914806817	80	2694
Memory	9.702878124748969	14.261973229918842	50	783
Murder	13.717335421748738	9.956443409802318	351	3405
Bird	12.848385076472995	10.271744748724227	5318	3760
Freedom of speech	21.539063967283237	11.349921485142326	278	9154
Banana	6.549035436561342	10.409682317672496	1129	4049
Swatch Internet Time	19.53767324885153	4.334076726312618	141	5409
Test tube	24.786045142966778	17.51072030420849	144	721
Crucible	16.930393796140322	20.31469547039475	67	491
Lithium	3.947371271839572	13.104615770098237	769	2214
Beryllium	12.923154037647251	6.449619151772409	104	5621
Data compression	20.017947225116597	12.12632201079072	491	4468
Compiler	14.853395203998653	4.2689448326771915	84	1525
Eye	5.072564545853588	2.6585641984501835	1410	2747
Tongue-twister	14.288098931154202	4.331141264074218	18	5602
AbiWord	15.891724546862575	12.367881997555608	90	558
Insect	5.509764125674954	11.624244144741574	1416	503
List of operating systems	13.332212210251422	10.785540525288008	33	8187
Million	22.777212826385227	42.61076775895429	198	33
Gross domestic product	15.381631189394765	17.881221255565322	209	242
Cricket	9.110439424669103	16.520351944197138	650	3627
Badminton	13.707939233742772	7.68449825476499	227	9818
Chemical warfare	10.730246954668976	16.366356276530446	552	7011
Iran	14.392028620615191	7.864684354899858	782	10348
Gautama Buddha	7.978846651186638	10.733228219128963	1081	12675
North	13.019442184241289	11.741901221646838	52	5173
Video game console	7.641155517140097	15.791508116549137	96	664
PlayStation	10.6929843817918	12.345920479737858	87	2652
Election	9.749096621385707	9.321243243073543	190	6999
Medicine	10.789362519273574	12.218373821505109	190	2429
Transport	12.644519884405685	2.160991155856986	375	4583
Road	12.398609663218386	6.768742410308555	152	4407
2004	15.144893984212832	10.655214710024392	16	3915
Hawaiian Islands	19.156858754085803	50.916657463311985	9	55
Mauna Kea	17.730101162118665	10.819251637509526	146	3504
Mauna Loa	12.517241602906784	12.216102198983352	93	6143
Van	22.835228273407118	8.813700128048822	119	4620
Pantograph	20.446982448795747	10.320728185773856	48	2076
Paperback	5.305349339562118	8.434468720430424	43	1109
Palette knife	22.6871308357604	2.4005063645597176	25	1835
Polymer	6.054078831940882	20.54376715951465	315	122
Medium	21.75022561724668	4.061346333993986	220	5160
Phrase	14.71338825263506	16.710191083931363	234	45
Pronoun	6.667853542683577	14.122063392546249	475	416
Adverb	4.70010443322927	10.768181603620375	309	508
News agency	20.45940003327678	7.236586449102426	42	1393
Safety curtain	17.016492660904685	12.036503586682935	68	417
Safety lamp	20.480941749942595	9.474539347478975	81	474
Christmas stocking	8.288319710807203	20.79463163677349	26	683
Wikipedia:Elections for the Board of Trustees of the Wikimedia Foundation	8.593987971510744	12.003606860086977	437	781
2001	10.0	9.590198869898243	31	456
Sex	8.306209200536882	9.928911654599162	822	81
Hacksaw	13.237863087526314	8.258448093893934	49	2987
Shovel	21.29741321027646	17.075395031805332	41	708
Plunger	13.06267762700075	12.223963524672511	58	957
Ladder	13.50558540053392	11.198392284384404	419	230
Oral history	32.96252406920282	19.021654853731985	68	385
Generation	18.98169994589634	4.007011470308785	57	846
Gene	8.27678168552326	19.614551421715603	515	1220
Alliteration	26.422835757505258	10.630677948644205	90	5867
Homophone	82.709227720593	26.256666592472875	22	325
Condensation	12.63466423958737	15.298415869442467	211	834
Relative humidity	34.83211463934432	13.470196259140149	117	435
Vitamin C	12.752972641950304	4.196481972174042	1565	2377
Healthy diet	18.05772981101948	6.982212361797135	54	8465
Dye	13.1405505069378	7.716316287284343	23	1415
Poetry	13.902177620350397	7.135899986033964	155	1153
Literature	15.916430091973343	3.7192479760409483	168	9873
Imagination	70.30284356250405	6.751668644873577	39	2194
Calorimeter	16.094895328326796	13.563617149247321	36	1708
Protease	13.1405505069378	7.74243318131678	20	2115
Dental floss	11.09805654896865	5.414271479562641	506	1035
Rickets	12.422725288458988	9.76366332873834	177	1323
Bile	4.526328279154589	7.613026022634784	77	894
Protoplasm	7.9063371466133825	7.9897316287428035	54	874
Amylase	8.399934852032585	5.312541128042061	40	399
Seam ripper	7.665953365257711	7.143849217935615	122	1097
Cavity	-1.0	16.998497495677793	6	137
Evidence	12.432843406698277	-1.0	78	11
Hill	13.647721322355046	15.712963363157037	45	906
Enzyme	5.859300197165291	14.134518302545121	744	1155
Mountain	13.824092042000194	3.2794395242026657	885	5126
Machine code	3.589696165476879	14.328065382646843	655	2117
Area	14.24655801785469	9.70414314216495	103	1005
Saskatoon	8.732745201949879	10.136025524969849	68	1344
Thermometer	4.925945603271985	13.443531516508267	306	6308
Week	34.21579237883143	6.126544610821809	59	2351
Suffix	15.664422703371828	7.105658882186044	43	1639
Japanese language	12.777004900659625	8.553371874678223	459	334
Flavor	17.117847396541695	19.582467230990478	81	7408
Bank	15.177638133544486	2.2886250491083606	210	1722
Halley's Comet	14.591863347359826	5.89317845025242	108	3726
Hubble Space Telescope	11.37119962222267	4.3636862720641645	424	5157
Arm	23.96071588290577	15.119301083813326	86	10626
Arrow	9.66323455736965	8.085545299425329	99	1991
Golf	7.542437575783558	17.325559770720506	318	1422
Spirituality	14.112943539879554	4.842941064856002	260	5454
2002	10.0	7.922252623027023	16	2296
2003	10.0	20.443299895029234	17	76
1999	10.0	27.035455946079377	28	56
1998	10.0	26.34176097242955	17	87
1997	10.0	38.9564859626859	17	72
1996	15.144893984212832	154.98207277007572	17	60
1995	10.0	32.87580748590678	17	72
1994	10.0	31.5859397832896	17	56
1993	10.0	39.60133944474883	17	89
1992	15.144893984212832	141.10177550753784	17	58
1991	10.0	28.930227492654474	17	75
2005	10.0	14.027175049696986	17	147
2006	12.707442362387573	15.77145338291292	36	80
2007	10.0	26.796777223955125	16	53
1989	10.0	14.168502363799792	28	66
Common year	13.667240388209699	40.389124868533436	165	113
Decade	19.174038261117765	13.342546569729983	80	131
19th century	15.796492601083301	33.01772847157504	54	314
21st century	-1.0	20.756271498445106	43	1206
Ijtihad	158.44489931029182	30.17902050945389	31	730
Human	10.146142107742476	12.044717646586475	2951	1129
Jungle	13.597851272698653	10.175174884308554	61	9429
Light	10.203689536989145	4.438220231378253	522	450
Stockholm	13.553499052673342	4.113540517868286	344	4702
Rain	11.41916305986078	15.577463675337585	463	6236
2009	17.132921364915887	9.183813784108139	27	6127
Gambling	5.707548749705136	16.21593851036201	155	58
Monty Python	28.78496770462429	4.5065239069510445	87	1549
Time zone	9.63175609518618	10.86337642417423	134	8954
Market	31.410628577503992	6.36103117365371	294	4542
Electron	11.11313840090881	14.218100084073996	773	2542
Chile	16.115353152941672	11.125862252760612	271	8770
Ambassador	21.366666309690714	12.500863556938647	220	12674
Monday	43.1747338028228	14.428252044354414	35	1381
Tax	12.11720623030458	17.119881000371578	365	1103
Florida	6.980984388300732	2.7152459039003327	979	9754
Mario	13.49722666465339	13.228686640426298	3690	9426
Video game	9.297973957010319	11.166616954313891	665	5070
Oboe	7.846421316956544	11.977066704134392	324	5217
GURPS	14.522751359298326	3.753653051395555	39	3619
Eric Idle	11.210560508711366	14.045720152682462	117	3668
Enemy	-1.0	13.40670213467349	34	3707
2000	17.40383454290713	-1.0	69	39
Adelaide	13.35019190079246	15.309202594364237	118	224
Yoshi	17.528933062417728	10.197011292802781	303	7852
Lake	17.854143145105148	16.747671356782977	268	1973
Tire	10.171286863430916	7.198006740031159	429	3383
Population	11.307385945882515	2.1690562301435965	174	11027
West	16.869031182799326	17.559196691241535	68	664
President	21.060166333280193	14.44874320440604	342	356
List of colors	10.0	13.707849526841853	17	2145
Galileo Galilei	10.586719165403398	13.558359789899734	648	763
Promise	10.009171087446777	10.2678210088489	153	8423
Water cycle	16.14568231917975	13.473777672664216	86	523
Water vapor	7.172055252673982	7.159873690248487	122	2143
Solid	17.06077785952409	4.435990313253458	636	2775
Evaporation	7.231008344223385	11.750169119271579	218	5008
Contract	31.943386768538925	7.190360403927961	258	1115
Face	13.20197420304296	5.752115552393897	79	9066
Kolkata	9.831460772013962	14.881998679638759	486	928
Pencil	8.903738062966115	10.610451247766834	1769	7484
Logic	8.566237728232748	10.370479238276678	320	3514
Communism	9.31076184952724	5.803655969828849	1478	4975
Resurrection	22.700718779034897	5.806682074215108	255	7959
Monarchy	17.198078370777655	14.601196762296517	932	2622
North Korea	7.035013656464898	9.324928454559698	752	2467
Parliament	11.780754381425389	12.140298485021278	669	9154
Turing test	14.573753294115335	9.42382459227119	185	4735
Fuel	11.22579295243335	10.916408277832176	215	7247
Estonia	14.741309714355655	12.082296385740996	145	1038
Latvia	12.664566924348724	9.840186128506735	289	12459
Lithuania	11.627841284911886	13.04005712171886	1066	7364
Malta	8.245176215542113	12.577714821260285	333	6118
Comoving distance	8.345489348166868	13.365275025486248	341	14565
Shaanxi	11.982475890509441	16.36590486792811	128	1344
Lisbon	10.447903391122027	5.985736488910528	63	2523
Surfing	15.615846131613644	9.454419475660037	119	8637
Lyon	8.360813836534238	8.520811508017779	111	5063
George W. Bush	12.145341934666394	12.265202908476756	1345	3631
Organic compound	9.11894966601476	12.353945049848354	495	12811
Coal	17.15467877974392	11.429186737308099	213	1013
Petroleum	12.977118092719923	5.716535123552447	362	4900
Natural gas	12.890823123724118	8.486580339897452	143	6260
Energy	11.026721905663459	10.7832504265051	254	5318
Xenon	8.689449944306432	9.03296074570685	109	6674
Kuala Lumpur	9.745298126161993	11.30163509303708	178	5530
Speed of light	9.848473765378486	6.960892707641146	645	7345
Denial	20.605474423503495	7.29752810261966	78	7530
Tokyo	6.633960733636562	9.427633112078166	520	1096
List of physicists	-1.0	6.46462036424881	7	4450
Brass	8.562588303031147	-1.0	36	13
Body	12.48956571826216	12.940798315745003	144	3405
Alloy	20.803532928285378	12.845411315002313	88	203
Material	14.96305994575891	7.126695575063107	99	2157
Brain	14.735917138761742	17.441772619926073	723	258
Neuron	8.989018710038714	6.9882189241811545	151	8420
Middle East	16.890952496882722	5.389265652638867	149	4713
Warsaw	9.795049333416815	18.64169547253028	186	3495
Point (geometry)	17.2891721831107	12.37306532849197	116	10615
Angle	1.4496556753910241	17.058189768752747	250	561
List of walls	-1.0	5.6021297880268985	8	2013
List of terrorist incidents	16.989451091340566	-1.0	47	8
List of telescope types	6.692271447629888	8.348567376708022	131	49
List of shipwrecks	36.69852373239937	20.05286021784554	15	201
List of emotions	-1.0	17.974631203995273	11	544
List of bridges	7.572446992106416	27.485663785249006	13	64
List of bones of the human skeleton	14.893241990069397	-1.0	29	32
Lists of tropical cyclone names	8.627825666133335	10.258630945867933	1763	37
Lists of astronomical objects	15.717209367343658	6.986327412479795	23	1963
List of nearest stars	18.90832786755774	10.0	71	13
List of nearest galaxies	8.407193483741965	13.800481059306302	57	370
List of water sports	10.725115373947743	11.940992051026257	48	188
List of waterways	7.3461891643709825	10.84351940154026	20	55
List of waterfalls	-1.0	13.853242643657586	8	18
List of tunnels	2.0199530694861747	11.89529169485603	25	48
List of tallest structures in the world	8.507304585967937	-1.0	297	14
List of symbols	10.0	12.012126519709271	13	358
White dwarf	12.921621321549436	10.0	290	13
Beach	11.284212018409743	5.415230432489789	203	4222
Major depressive disorder	10.099832784843118	8.606861660656769	872	7334
Qur'an	6.496718481443308	17.03151347137763	726	1787
Tony Blair	8.5642695648324	6.1261765071021665	276	10005
Accident	13.967397729010766	13.137684405289455	185	7644
Acne	11.842380423497621	15.591421758486113	343	7740
Dinosaur	12.07171312196776	18.199655297673516	814	257
Stone Age	8.934656943170905	10.111362956081663	263	27
Adolf Hitler	8.225535711891384	8.93690793119025	1456	11492
Virgil	12.79564254149552	12.355284601984579	170	8599
Alcohol	5.554560341029173	14.959580169115196	128	26514
Wolfgang Amadeus Mozart	10.907643358464338	10.968063448697256	1984	4180
Johann Sebastian Bach	12.031002344683463	2.7585301992548614	1600	3176
Atmosphere	14.106252941789469	16.16863281873049	424	5763
Penis	10.054268356075495	16.24594420408429	688	7486
Sahara	11.167737934685784	13.062643356515705	658	1498
Paris	14.550390811845705	5.474002521181322	722	1075
The Holocaust	10.67304973687628	9.870996044356605	370	4161
Kyoto	11.932466106841735	11.179428202913817	329	11762
Anarchy	7.795277867644868	7.090143823600078	457	21728
DNA	9.483384955547963	7.5432528513488295	1128	4062
Karl Marx	16.477148918743794	21.382696505653037	285	2469
Bread	6.9963498157307455	3.8976350311630936	309	7751
Shinto	6.886864329507663	8.377428922370123	154	8766
Volcano	14.042977326396699	5.307330501988396	459	4349
Big Bang	16.784732019642625	8.938926902387475	437	7163
Astronomer	17.8492410377493	4.026997006600312	50	4438
Analysis	-1.0	9.27132770133376	44	7631
Aristotle	12.230870335872664	15.841100270442913	901	784
Carl Sagan	14.467877077794842	15.684995928400326	1257	774
Colonization	17.28050810215043	11.310480659584105	119	8616
Choreography	8.335044883946972	12.88547029503587	102	6475
Vietnam War	8.1644665515048	15.147315403190094	999	1518
Sahel	12.652970868922413	13.258968350850823	361	181
Chemical change	11.44201063334632	9.378825466933556	219	16360
Physical change	8.539909669031633	16.783839621217375	93	1607
Ronald Reagan	12.337787987892296	12.88824234166804	1249	260
United Nations	11.086823226058826	17.672359361663617	353	312
List of historians	20.599327259492608	11.907062307291337	56	13580
Marco Polo	17.560328288555215	12.193851182561742	377	6989
A Brief History of Time	5.900420900060888	20.599327259492608	2976	27
Alexander Graham Bell	11.772835488113543	14.697354294622103	1494	2262
1687	10.0	23.599815229574308	17	384
Deep house	6.824851585971503	13.288678701241347	31	9484
Cytokine	15.432623092754287	10.936090149065171	101	38
Bristol	12.898018464652944	11.296579759385155	236	209
List of towns in England	39.83360034683451	13.754700853255429	252	1011
Bright Eyes (band)	16.248055226405587	14.080916003464854	124	8495
Honeycomb	11.765108061620545	16.64678826540968	97	165
Greek language	11.951092707282644	16.938924255914227	229	2289
Murasaki Shikibu	15.536018204686643	15.199268062759113	65	751
Pepsin	9.959052348327354	12.288019590474152	66	2481
PH	7.2634803264559915	11.250320590164948	245	666
Omnivore	11.933972965973547	7.562455825013232	42	1370
Herbivore	9.756726348709783	3.1510232491157306	518	4019
1941	15.144893984212832	13.508832181595967	19	777
1945	10.0	8.928844610279532	24	2993
Ludwig van Beethoven	9.938735882241087	8.412743202766391	2688	38
Roald Amundsen	12.924009027427573	8.412743202766391	94	38
Triangle (disambiguation)	17.714300976629126	14.000703283549147	81	8036
Square (geometry)	11.591257637445779	15.422825534389666	77	2852
Meat	13.046103488122187	15.459471184632708	280	10
Anders Celsius	9.74955844278809	14.695202763616997	65	282
Tuvalu	9.30737981114319	10.948301061254053	301	4856
Java	6.302242213540915	13.136722256600223	91	973
James Watt	16.9716392364799	14.02329110752501	274	3044
Michelangelo	14.037099872945188	8.396952225214347	2676	3565
Leonardo da Vinci	12.082849075828204	10.873559790279975	4410	4036
1902	10.0	15.951323549680998	16	4528
Platinum	11.498110323633298	18.694221890867933	145	8426
List of minerals	10.0	10.936090149065171	7	35
Craft	14.318386404792815	10.35988354849167	94	3625
Kim Jong-il	25.99758909328907	4.163757071435425	309	49
Silver	7.639158226642768	17.68615154485099	745	582
Pope	5.000089898167832	10.227233168117229	556	6231
San Andreas Fault	18.059294925423128	6.682181982258258	312	5119
Void (astronomy)	13.833094546438584	3.388557412901049	111	11767
Metallurgy	10.013774397152266	12.660852769852667	560	1898
Fixed-wing aircraft	8.692143982353109	11.594461136469075	425	116
Aircraft	8.357078061999754	10.660603158790586	204	1629
Victoria, British Columbia	9.376719516070088	6.365089382265773	299	4049
Suez Canal	17.309301881682472	6.829306247650023	333	5093
Canal	13.429495812059374	16.536299871698482	79	7069
Mars (mythology)	12.01382008682073	17.24148187983479	50	4854
Cessna	8.601613322178714	18.421337319672304	33	3041
