article	simple	complex	simple_size	complex_size
Infinity	4.076396894329944	5.149991396141122	151	3104
January	13.587694306272702	21.258220604890898	131	703
June	11.628076762729041	9.35744432733068	81	437
July	9.571529448723096	12.936616886401094	79	234
Japan	7.133985797291121	11.64485186664822	1158	7091
Jargon	12.756089453827578	19.662480477331925	178	205
Jupiter	11.134659948598024	9.51520232511016	1808	7080
Knowledge	17.15451332020405	12.984498613597733	365	1975
Kauai	13.508218746873595	14.511972084062286	237	1896
Killing	11.62136029811651	10.0	119	19
Kilometre	13.492949812631302	13.44681030119422	134	586
Language	9.747853347032706	4.950309749395233	696	5962
Leisure	35.59468978999272	18.6683799172248	181	217
Life	10.522642980753321	10.039969534756462	396	4164
Law	7.094476477938023	3.774051913604428	1225	9350
Provinces and territories of Canada	11.86007720645582	16.960249055765768	119	1769
Las Vegas, Nevada	10.821089327419507	12.170037922632206	342	4384
Leap year	15.21592849833441	10.84675207246526	294	3220
Leather	12.394556416956195	4.377950837466138	98	2804
License	5.72174549112635	20.894966375120116	362	814
Library	4.87460370897811	5.330487246630916	348	5402
Like	9.69930065624193	14.364269246290295	404	1286
Legislature	18.16589969702943	17.030557929615924	153	501
Linear algebra	5.614260473852201	7.208590027559101	119	1139
London	12.713349931452468	11.256533190550986	507	10629
Litre	6.344048556153188	3.905763242175981	108	2253
Mathematics	5.362543650690924	5.454904531723208	599	4243
March	13.63265924163487	9.465607987443617	79	355
May	17.167355255655323	20.37639833476183	71	247
Music	9.918449660180245	10.741138966824822	3779	8055
Madrid	11.182080122860638	16.974872624846913	1287	11473
Montreal	12.647163496768599	10.747265725400375	428	8175
Maui	10.098434823763277	14.993075150687078	205	3302
Money	10.481921000488889	5.047258757529267	926	3342
Multiplication	8.579435971678086	6.502021757385601	309	2852
Microsoft	7.69981334498227	10.601200129532634	314	4235
Multiverse	4.103954591000519	4.537631518087659	81	2449
MediaWiki	13.487506979074501	5.5905290278416535	493	7282
First language	4.059306167873983	4.752085644182226	112	922
Mile	10.731008432471876	3.468463467192424	181	2252
Margarine	13.176279797754919	6.281310289472971	101	3770
Milky Way	9.37070292593632	7.082400898257584	647	5311
Metaphor	7.3453113473491065	12.736145318625669	620	1700
Metabolism	13.144504810063486	8.099759701079755	110	6175
Mass	7.554609618526357	5.074913243819674	410	7431
Mercury (planet)	11.791344457834251	10.290194660520141	535	7331
Mars	6.449830571406238	11.893356577554053	1347	9588
Mac OS	21.533066603666978	10.723345108451174	102	3525
Metre	25.598098722041236	14.250183837598872	108	1543
Magnifying glass	12.185951424927659	20.304148222005693	104	750
Molecule	10.872947326860446	11.06856867701647	394	1484
Moral reasoning	9.174757904982153	7.833009562365208	120	182
Mosque	7.059247041633028	6.574633136068127	3754	6114
Mammal	13.602226386726548	11.720404176406484	557	4153
Number	3.044331943713409	3.215638378348055	1795	5561
November	10.405816648006859	9.11235154478365	89	328
National anthem	97.30497378893295	10.534450848076414	20	1904
Name	15.179670720280196	14.57632215104432	1182	2118
Niihau	12.131894369370363	15.354250779356398	324	2750
Fishing net	13.443167318641096	4.9645693733895335	29	1219
Internet slang	24.111666703865474	18.049249732020154	333	1499
Nauru	8.859664400733092	12.342900823624419	70	4615
Noun	4.79276730927575	5.541636550854298	755	2249
Wikipedia:Neutral point of view	13.338111294535983	13.02795380198658	515	3495
Nature	22.91221275002446	11.884608825794315	323	6189
Natural resource	11.70946831274981	15.626853050233748	279	523
Negentropy	13.816837800535417	7.93318946776111	325	770
North America	17.92315574924241	12.795225760158344	71	2861
Neptune	11.97736209071693	14.68210599450282	3574	5995
New York City	13.541313941404484	10.84809014915213	956	10011
October	9.808128486483174	18.548266246060304	82	190
1 (number)	17.748786331133005	2.9099434363555083	213	1230
O Canada	8.92653014109084	8.688753414641086	373	1803
Oahu	9.924032999300568	12.360244050484686	299	1472
Open content	13.046416503672672	10.466534575286667	339	593
Orthography	10.336457564378138	5.91671050502594	1245	1085
Oil	11.959645783944303	9.347700400777516	221	813
Oxymoron	17.76747668295056	18.05355520264679	229	910
Operating system	7.87245800594808	7.033767143957509	463	9402
Philosophy	8.542701061475427	11.328768397993441	1161	9583
Physics	15.626524431500927	5.896324666002667	1320	4131
Politics	12.377701221742482	12.64916333964724	634	4723
Value (personal and cultural)	21.55806996967662	11.706353195151706	133	847
Profanity	5.3011423014794365	10.145559179134677	1627	1215
People's Republic of China	8.779999568584111	9.925412450437827	984	10598
Psychoneuroimmunology	22.10913262761375	8.004650404317525	492	2594
Political party	11.106475058632428	13.388164726307544	526	3478
Pet	23.111877734155076	14.607350610981728	214	1393
Platonic realism	22.76313032850073	19.700320174102597	293	1485
Paradox	17.18962085225642	12.819658185052687	347	1232
Potato	6.08827416175448	3.819102733322569	369	9065
Plant	11.561307619928845	7.469143417796833	877	4984
Prediction	13.920495523086446	14.8343553499448	147	976
Probability	22.793874853946736	9.562309865421563	274	2363
